ID,State Code,County Code,Name,State Name,PWS ID,PWS Name,EPA Region,PWS Type,Population Served Count,Cities Served,Size,Oversample,URL of CCR,Most recent year?,Translation available?,ASCORE,RSCORE,TSCORE
28,6,1,Alameda,California,CA0110006,CITY OF HAYWARD,Region 9,Community water system,151600,HAYWARD,Very Large,1,https://www.hayward-ca.gov/sites/default/files/2019%20CCR%20%28Water%20Quality%20Report%29%20-%20Final%20Cover.pdf,2020,No,0,-8.66,0
29,6,61,Placer,California,CA3110003,FORESTHILL PUBLIC UTILITY DIST,Region 9,Community water system,6000,-,Medium,0,https://www.foresthillpud.com/pdf_files/Annual-Water-Quality-Reports/CCR-2019-FPUD.PDF,2020,Yes,0,-189.53,100
30,6,67,Sacramento,California,CA3410013,CALAM - LINCOLN OAKS,Region 9,Community water system,94183,-,Large,0,https://www.amwater.com/ccr/lincolnoaks.pdf,2020,Yes,0,-0.06,100
31,6,67,Sacramento,California,CA3410031,CALAM - ANTELOPE,Region 9,Community water system,68587,-,Large,0,https://www.amwater.com/ccr/antelope.pdf,2020,Yes,0,8.61,100
32,6,67,Sacramento,California,CA3410008,ELK GROVE WATER SERVICE,Region 9,Community water system,40461,-,Large,0,https://www.egwd.org/wp-content/uploads/FINAL-Elk-Grove-Water-District-6.5.19.pdf,2019,No,0,29.11,0
33,6,79,San Luis Obispo,California,CA4010002,ATASCADERO MUTUAL WATER CO,Region 9,Community water system,31787,-,Large,0,https://web.amwc.us/resources/CCR.pdf,2020,No,3.305785124,11.25,0
34,6,83,Santa Barbara,California,CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,Region 9,Community water system,6737,-,Medium,0,https://s3.amazonaws.com/siteninja/multitenant/assets/30524/files/original/ID1_2019_Annual_WQ_Report_Final.pdf,2020,No,0,-114.01,0
35,6,63,Plumas,California,CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Region 9,Community water system,6000,-,Medium,0,http://www.laccmutualwater.org/uploads/9/6/4/8/9648300/2019_water_quality_report.pdf,2020,Yes,0,N/A,100
36,6,17,El Dorado,California,CA0910013,GEORGETOWN DIVIDE PUD,Region 9,Community water system,9053,-,Medium,0,https://www.gd-pud.org/files/5c86aa1e3/2019+CCR+-+GDPUD_Final.pdf,2019,Yes,5.46875,-501.27,100
38,6,61,Placer,California,CA3110026,NEVADA ID - NORTH AUBURN,Region 9,Community water system,6640,-,Medium,0,https://nidwater.com/wp-content/uploads/2020/06/NID-WQR-2019.pdf,2020,No,1.518438178,21.54,0
39,6,107,Tulare,California,CA5410016,CWS - VISALIA,Region 9,Community water system,139924,-,Very Large,0,https://www.calwater.com/docs/ccr/2019/vis-vis-2019.pdf,2020,No,2.797202797,8.61,0
40,6,47,Merced,California,CA2410005,CITY OF LOS BANOS,Region 9,Community water system,40998,LOS BANOS,Large,0,http://www.losbanos.org/wp-content/uploads/2020/06/2410005-CityofLosBanos-2019-CCR.pdf,2020,Yes,10.4,-7.37,100
41,8,59,Jefferson,Colorado,CO0130105,NORTH TABLE MOUNTAIN WSD,Region 8,Community water system,10000,-,Medium,0,https://www.ntmwater.org/wp-ntm-content/uploads/2020/05/CCR_2020.pdf,2020,No,33.33333333,-354.8,0
42,8,41,El Paso,Colorado,CO0121455,MERIDIAN SERVICE MD,Region 8,Community water system,7807,-,Large,0,https://www.meridianranchmetro.org/documents/waterQualityReports/2020ConsumerConfidenceReport.pdf,2020,Yes,0,-35.69,100
43,8,69,Larimer,Colorado,CO0135291,FT COLLINS CITY OF,Region 8,Community water system,124262,-,Very Large,0,https://www.fcgov.com/utilities/img/site_specific/uploads/20-22248-2019-water-quality-report-final.pdf?1592426353,2020,Yes,5.025125628,6.14,100
44,9,3,Hartford,Connecticut,CT0473011,CTWC - NORTHERN REG-WESTERN SYSTEM,Region 1,Community water system,98390,"EAST GRANBY, EAST WINDSOR, ELLINGTON, ENFIELD, MANCHESTER, MANSFIELD, SOUTH WINDSOR, SUFFIELD, TOLLAND, VERNON, WINDSOR LOCKS",Large,0,https://www.ctwater.com/media/2371/northern-western2019.pdf,2020,No,10.94890511,1.27,0
45,9,11,New London,Connecticut,CT0590011,GROTON UTILITIES,Region 1,Community water system,30200,"GROTON, LEDYARD",Large,0,https://grotonutilities.com/download/water/water_quality_reports/2019.pdf,2020,No,0,-38.8,0
46,10,5,Sussex,Delaware,DE0000557,SUSSEX SHORES WATER COMPANY,Region 3,Community water system,12450,BETHANY BEACH,Large,0,https://www.sussexshoreswater.com/media/CCR%202020.pdf,2020,No,2.941176471,-1.82,0
47,12,86,Miami-Dade,Florida,FL4134365,HIALEAH GARDENS,Region 4,Community water system,24156,HIALEAH GARDENS,Large,1,https://www.cityofhialeahgardens.com/Home/ShowDocument?id=1544,2020,Yes,0,23.47,100
48,12,11,Broward,Florida,FL4060573,"HALLANDALE BEACH, CITY OF",Region 4,Community water system,40000,HALLANDALE BEACH,Large,1,https://hallandalebeachfl.gov/DocumentCenter/View/20424/2019-Water-Quality-Report,2020,Yes,4.12371134,30.98,100
49,12,119,Sumter,Florida,FL6604862,LITTLE SUMTER UTILITIES 3WPS,Region 4,Community water system,25382,THE VILLAGES,Large,0,https://www.districtgov.org/departments/utilities/LSSA-2019-Water-Quality-Report.pdf,2020,No,53.84615385,-13.83,0
50,12,101,Pasco,Florida,FL6510424,DADE CITY WATER DEPT,Region 4,Community water system,14373,DADE CITY,Large,0,https://www.dadecityfl.com/2019%20Dade%20City%20CCR.docx,2020,Yes,5.306122449,-433.13,100
51,12,97,Osceola,Florida,FL3494428,ENTERPRISE CDD (CONSECUTIVE),Region 4,Community water system,8166,CELEBRATION,Medium,0,http://www.enterprisecdd.org/wp-content/uploads/2010/09/2019-water-quality-report.pdf,2020,No,26,20.28,0
53,12,69,Lake,Florida,FL3350346,"EUSTIS, CITY OF (4 WPS)",Region 4,Community water system,35089,EUSTIS,Large,0,http://cms5.revize.com/revize/eustisfl/Eustis_FL_CCR-2019_WEB.pdf,2020,No,0,27.63,0
54,12,117,Seminole,Florida,FL3594107,SEMINOLE COUNTY NORTHWEST,Region 4,Community water system,31986,SANFORD,Large,0,http://www.seminolecountyfl.gov/core/fileparse.php/3234/urlt/Water-Quality-Report-for-2019-ADA.pdf,2020,No,1.62037037,-34.91,0
55,12,99,Palm Beach,Florida,FL4501559,WEST PALM BEACH WTP,Region 4,Community water system,102000,WEST PALM BEACH,Very Large,0,https://www.wpb.org/home/showdocument?id=2296,2020,Yes,0,19.51,100
56,12,105,Polk,Florida,FL6535055,UIF - CYPRESS LAKES,Region 4,Community water system,3418,LAKELAND,Medium,0,https://www.myutility.us/docs/default-source/florida/2019/cypress-lakes-19ccr-095.pdf?sfvrsn=4,2020,No,21.42857143,-250.33,0
57,12,83,Marion,Florida,FL6421144,MARION OAKS SUBDIVISION (5 WTPS),Region 4,Community water system,19401,OCALA,Large,0,https://www.marioncountyfl.org/home/showdocument?id=18782,2019,No,46.15384615,-49.09,0
58,12,83,Marion,Florida,FL6424630,OAK RUN ESTATES (6 WTPS),Region 4,Community water system,11788,OCALA,Large,0,https://www.marioncountyfl.org/home/showdocument?id=18784,2019,No,48,-28.79,0
59,12,117,Seminole,Florida,FL3590205,"SANFORD, CITY OF (2 WPS)",Region 4,Community water system,65216,SANFORD,Large,0,https://www.sanfordfl.gov/home/showdocument?id=21251,2020,No,0,21.54,0
60,12,3,Baker,Florida,FL2020204,MACCLENNY WTP,Region 4,Community water system,6391,MACCLENNY,Medium,0,http://www.cityofmacclenny.com/images/2018_CCR_City.pdf,2019,No,0,-126.43,0
61,13,105,Elbert,Georgia,GA1050001,ELBERTON,Region 4,Community water system,7800,ELBERTON,Medium,0,https://elbertonutilities.net/water-wastewater/forms-documents/Water%20Quality%20Report%202019.pdf,2020,No,6.52173913,-7.34,0
62,13,81,Crisp,Georgia,GA0810001,CORDELE,Region 4,Community water system,11196,CORDELE,Large,0,https://nebula.wsimg.com/9b12eba5bedb983b21291e1146fc6892?AccessKeyId=5DE3111E17997895EBA3&disposition=0&alloworigin=1,2019,No,7.329842932,24.85,0
63,13,9,Baldwin,Georgia,GA0090000,BALDWIN COUNTY,Region 4,Community water system,23067,-,Large,0,https://www.baldwincountyga.com/wp-content/uploads/2019/05/Water-Quality-Report.pdf,2019,No,0,N/A,0
64,13,215,Muscogee,Georgia,GA2150000,COLUMBUS,Region 4,Community water system,229000,-,Very Large,0,http://www.cwwga.org/documentlibrary/598_Print%20Final.pdf,2020,No,0,23.5,0
65,13,51,Chatham,Georgia,GA0510229,SAVANNAH-WILMINGTON ISLAND,Region 4,Community water system,13526,-,Large,0,http://savannahwaterquality.com/reports/2020/savannah-main/,2020,No,0,34.22,0
66,13,185,Lowndes,Georgia,GA1850016,LOWNDES CO.-NORTH LOWNDES CO. WS,Region 4,Community water system,7194,LAKE PARK,Medium,0,https://www.lowndescounty.com/DocumentCenter/View/1339/Consumer-Confidence-Reports-2019,2020,No,0,-15.35,0
67,13,39,Camden,Georgia,GA0390001,ST. MARYS,Region 4,Community water system,17270,-,Large,0,http://www.stmarysga.gov/department/public_works/docs/Water_Quality_Reports/2019%20STMARY%20CCR.pdf,2020,No,48,19.44,0
68,13,151,Henry,Georgia,GA1510000,HAMPTON,Region 4,Community water system,7305,HAMPTON,Medium,0,https://www.hcwa.com/skins/userfiles/files/HCWA_2020_CCR_web%20HQ.pdf,2020,No,33.33333333,-224.48,0
69,13,137,Habersham,Georgia,GA1370002,CLARKESVILLE,Region 4,Community water system,5785,CLARKESVILLE,Medium,0,https://www.clarkesvillega.com/uploads/pdfs/CCR_report1.pdf,2020,No,4.968944099,-178.57,0
70,13,241,Rabun,Georgia,GA2410118,RABUN COUNTY WATER & SEWER AUTHORITY,Region 4,Community water system,4587,CLAYTON,Medium,0,https://cityofclaytonga.gov/wp-content/uploads/2018/03/confidencereport.pdf,2018,No,0,N/A,0
71,16,67,Minidoka,Idaho,ID5340017,RUPERT CITY OF,Region 10,Community water system,5645,-,Medium,0,http://www.rupert-idaho.com/wp-content/uploads/2019/06/CCR2018.pdf,2019,No,0,22.28,0
72,16,83,Twin Falls,Idaho,ID5420058,TWIN FALLS CITY OF,Region 10,Community water system,48260,-,Large,0,https://www.tfid.org/DocumentCenter/View/4612/2020-CCR-Report?bidId=,2020,No,0,38.28,0
73,16,47,Gooding,Idaho,ID5240009,GOODING CITY OF,Region 10,Community water system,3567,-,Medium,0,http://www.goodingidaho.org/departments/water-department/ccr-2017-report-is-my-water-safe/,2020,No,2.819548872,11.55,0
74,17,31,Cook,Illinois,IL0312880,SKOKIE,Region 5,Community water system,64784,SKOKIE,Large,1,https://www.skokie.org/DocumentCenter/View/3640/Skokie-2019-Water-Quality-Report-PDF,2020,No,63.15789474,23.84,0
75,17,31,Cook,Illinois,IL0310450,CHICAGO HEIGHTS,Region 5,Community water system,30392,CHICAGO HEIGHTS,Large,1,http://cityofchicagoheights.org/DocumentCenter/View/2343/Consumer-Confidence-Report-2020,2020,No,66.66666667,-10.82,0
76,17,31,Cook,Illinois,IL0311860,MELROSE PARK,Region 5,Community water system,25514,MELROSE PARK,Large,1,http://www.melrosepark.org/wp-content/uploads/2020/06/2019-Annual-Water-Quality-Report.pdf,2020,No,0,43.26,0
77,17,31,Cook,Illinois,IL0314740,PARK FOREST,Region 5,Community water system,21975,PARK FOREST,Large,1,http://www.vopfwaterreport.com/,2020,No,0,7.56,0
78,17,31,Cook,Illinois,IL0314180,BUFFALO GROVE,Region 5,Community water system,41266,BUFFALO GROVE,Large,1,https://issuu.com/vbg0/docs/waterccr_2019?fr=sMDdiZDU0MzE5,2020,No,0,-13.56,0
79,17,31,Cook,Illinois,IL0312730,ROLLING MEADOWS,Region 5,Community water system,24099,ROLLING MEADOWS,Large,1,https://www.cityrm.org/ArchiveCenter/ViewFile/Item/6534,2020,No,0,-0.97,0
80,17,31,Cook,Illinois,IL0315350,AQUA ILLINOIS-NORTH MAINE UTILITIES,Region 5,Community water system,30043,-,Large,1,https://www.aquaamerica.com/WaterQualityReports/2019/IL/IL0315350.pdf,2020,No,0,9.59,0
81,17,31,Cook,Illinois,IL0312520,POSEN,Region 5,Community water system,5820,POSEN,Medium,1,https://www.villageofposen.org/vop/wp-content/uploads/2020/05/2020-CCR-Water-Report-PPW.pdf,2020,No,60,-23.85,0
82,17,31,Cook,Illinois,IL0312760,ROSEMONT,Region 5,Community water system,4300,ROSEMONT,Medium,1,https://www.rosemont.com/assets/1/7/2019_Water_Quality_Report.pdf,2020,No,0,17.85,0
83,17,29,Coles,Illinois,IL0290250,MATTOON,Region 5,Community water system,19000,MATTOON,Large,0,http://mattoon.illinois.gov/wp-content/uploads/CurrentCCR.pdf,2020,No,0,-22.66,0
84,17,143,Peoria,Illinois,IL1430200,CHILLICOTHE,Region 5,Community water system,5996,CHILLICOTHE,Medium,0,http://www.cityofchillicotheil.com/contact_us/public_works/docs/2019%20CCR%20report%20-%20Cleaned.pdf,2020,No,0,7.76,0
85,17,97,Lake,Illinois,IL0970840,LAKE VILLA,Region 5,Community water system,8829,LAKE VILLA,Medium,0,https://www.lake-villa.org/egov/documents/1588346710_40685.pdf,2020,No,0,-2266.75,0
86,17,163,St. Clair,Illinois,IL1630850,MILLSTADT,Region 5,Community water system,4380,MILLSTADT,Medium,0,http://www.villageofmillstadt.org/documents/2019-CCR.pdf,2020,No,0,N/A,0
87,17,197,Will,Illinois,IL1970450,JOLIET,Region 5,Community water system,148693,JOLIET,Very Large,0,https://www.joliet.gov/Home/ShowDocument?id=26006,2020,No,0,36.66,0
88,17,119,Madison,Illinois,IL1195110,HOLIDAY SHORES SD,Region 5,Community water system,3387,-,Medium,0,http://water.epa.state.il.us/dww/JSP/SearchDispatch?number=&name=&county=All&WaterSystemType=All&SourceWaterType=All&PointOfContactType=None&SampleType=null&begin_date=1%2F24%2F2014&end_date=1%2F24%2F2016&action3=Review+Consumer+Confidence+Data,2020,No,0,-38.19,0
89,18,1,Adams,Indiana,IN5201002,DECATUR WATER DEPARTMENT,Region 5,Community water system,9500,DECATUR,Medium,0,http://www.decaturin.org/Documents/2020%20Drinking%20Water%20Quality%20Report.pdf,2020,No,0,N/A,0
90,18,157,Tippecanoe,Indiana,IN5279015,PURDUE UNIV. WATER WORKS,Region 5,Community water system,55000,WEST LAFAYETTE,Large,0,https://www.purdue.edu/physicalfacilities/units/energy-utilities/ccr-report.pdf,2020,No,21.73913043,-18.91,0
91,18,173,Warrick,Indiana,IN5287004,INDIANA AMERICAN WATER - NEWBURGH,Region 5,Community water system,19898,NEWBURGH,Large,0,https://www.amwater.com/ccr/newburgh.pdf,2020,No,7.177033493,12.94,0
92,18,113,Noble,Indiana,IN5257008,KENDALLVILLE WATER DEPARTMENT,Region 5,Community water system,9905,KENDALLVILLE,Medium,0,https://www.kendallville-in.org/pdf/water/ccr.pdf,2020,No,4.225352113,-140.1,0
93,18,41,Fayette,Indiana,IN5221001,CONNERSVILLE UTILITIES,Region 5,Community water system,15000,CONNERSVILLE,Large,0,http://connersvillecommunity.com/Portals/0/Documents/Utilities/CCR%202020.pdf,2020,No,54.54545455,4.31,0
95,18,93,Lawrence,Indiana,IN5247004,NORTH LAWRENCE WATER AUTHORITY,Region 5,Community water system,13300,BEDFORD,Large,0,https://northlawrencewater.com/documents/770/CCR_2019.pdf,2020,No,6.622516556,22.99,0
96,18,89,Lake,Indiana,IN5245015,INDIANA AMERICAN WATER - NORTHWEST,Region 5,Community water system,173525,"GARY, MERRILLVILLE",Very Large,0,https://www.amwater.com/ccr/greatergaryarea.pdf,2020,No,6.465517241,12.43,0
97,18,173,Warrick,Indiana,IN5287001,VEOLIA WATER OF BOONVILLE,Region 5,Community water system,10260,BOONVILLE,Large,0,http://cms4.revize.com/revize/boonville/Veolia%20Water%20CCR%20Updated%206.12.2020.pdf,2020,No,35.71428571,35.75,0
98,18,107,Montgomery,Indiana,IN5254005,INDIANA AMERICAN WATER - CRAWFORDSVILLE,Region 5,Community water system,14855,CRAWFORDSVILLE,Large,0,https://www.amwater.com/ccr/crawfordsville.pdf,2020,No,6.048387097,2.45,0
99,19,167,Sioux,Iowa,IA8486053,SIOUX CENTER MUNICIPAL WATER DEPARTMENT,Region 7,Community water system,7050,SIOUX CENTER,Medium,0,https://www.siouxcenter.org/DocumentCenter/View/624/Annual-Water-Quality-Report?bidId=,2020,No,0,-184.35,0
100,19,59,Dickinson,Iowa,IA3070078,SPIRIT LAKE WATERWORKS,Region 7,Community water system,5578,SPIRIT LAKE,Medium,0,https://www.cityofspiritlake.org/wp-content/uploads/2020/06/2020-Water-Quality-Report.pdf,2020,No,0,-161.11,0
101,19,67,Floyd,Iowa,IA3405012,CHARLES CITY WATER SUPPLY,Region 7,Community water system,7702,CHARLES CITY,Medium,0,https://www.cityofcharlescity.org/ArchiveCenter/ViewFile/Item/690,2020,No,45.16129032,-276.65,0
102,19,127,Marshall,Iowa,IA6469042,MARSHALLTOWN WATER WORKS,Region 7,Community water system,27680,MARSHALLTOWN,Large,0,https://img1.wsimg.com/blobby/go/777f8fed-58b1-435c-9425-41060b00131f/downloads/Marsahalltown%20CCR%202020%20English.pdf?ver=1592003311649,2020,No,42.85714286,11.82,0
103,19,169,Story,Iowa,IA8584000,STORY CITY WATER DEPT,Region 7,Community water system,3431,STORY CITY,Medium,0,https://cityofstorycity.org/wp-content/uploads/2020/03/2019-Water-Quality-Report.pdf,2020,No,0,N/A,0
104,20,45,Douglas,Kansas,KS2004503,"LAWRENCE, CITY OF",Region 7,Community water system,97286,LAWRENCE,Large,0,https://assets.lawrenceks.org/utilities/ccr-2020.pdf,2020,No,3.194103194,4.86,0
105,20,103,Leavenworth,Kansas,KS2010312,LANSING CORRECTIONAL FACILITY,Region 7,Community water system,3500,LANSING,Medium,0,https://www.kdheks.gov/pws/2020_CCRs/LANSING_CORRECTIONAL_FACILITY-KS2010312.docx,2020,No,2.45398773,-40.36,0
106,20,103,Leavenworth,Kansas,KS2010313,LAN DEL WATER DISTRICT,Region 7,Community water system,7302,LANSING,Medium,0,http://lan-del.com/Lan-Del%20Water%20Quality%20Report%202019.pdf,2020,No,0,-7.23,0
107,21,229,Washington,Kentucky,KY1150415,SPRINGFIELD WATER WORKS,Region 4,Community water system,13205,-,Large,0,http://www.krwa.org/2019ccr/springfield.pdf,2020,No,0,N/A,0
108,21,191,Pendleton,Kentucky,KY0960126,FALMOUTH WATER DEPARTMENT,Region 4,Community water system,3861,-,Medium,0,http://www.krwa.org/2019ccr/falmouth.pdf,2020,No,20,17.27,0
109,21,107,Hopkins,Kentucky,KY0540936,MADISONVILLE LIGHT & WATER,Region 4,Community water system,28102,-,Large,0,http://www.krwa.org/2019ccr/madisonville.pdf,2020,No,2.53164557,13.28,0
110,21,235,Whitley,Kentucky,KY1180468,WHITLEY CO WATER DISTRICT,Region 4,Community water system,9825,-,Medium,0,http://krwa.org/2019ccr/whitley.pdf,2020,No,6.015037594,22.62,0
111,21,61,Edmonson,Kentucky,KY0310114,EDMONSON CO WATER DISTRICT,Region 4,Community water system,29872,-,Large,0,https://ecwdwater.com/wp-content/uploads/2020/06/2019-CCR-Edmonson-Co.pdf,2020,No,0,10.95,0
112,21,225,Union,Kentucky,KY1130422,STURGIS WATER WORKS,Region 4,Community water system,3490,-,Medium,0,http://krwa.org/2019ccr/sturgis.pdf,2020,No,10.52631579,9.56,0
113,22,101,St. Mary Parish,Louisiana,LA1101011,WATER & SEWER COMMISSION 4 OF ST MARY,Region 6,Community water system,9348,-,Medium,0,https://ccrwater.net/stmarywscomm4-71055,2020,No,4.330708661,-74.97,0
114,22,41,Franklin Parish,Louisiana,LA1041006,WINNSBORO WATER SYSTEM,Region 6,Community water system,5500,-,Medium,0,http://ldh.la.gov/assets/oph/Center-EH/engineering/CCR/2019/Franklin/LA1041006.docx,2020,No,2.402402402,-101.32,0
115,22,15,Bossier Parish,Louisiana,LA1015040,CYPRESS BLACK BAYOU WATER SYSTEM,Region 6,Community water system,4989,-,Medium,0,http://ldh.la.gov/assets/oph/Center-EH/engineering/CCR/2019/Bossier/LA1015040.docx,2020,No,3.174603175,-68.34,0
116,22,53,Jefferson Davis Parish,Louisiana,LA1053013,JEFF DAVIS WATER DISTRICT 4,Region 6,Community water system,3834,-,Medium,0,http://ldh.la.gov/assets/oph/Center-EH/engineering/CCR/2019/JeffersonDavis/LA1053013.docx,2020,No,3.053435115,-88.84,0
117,22,73,Ouachita Parish,Louisiana,LA1073046,SOUTH MONROE WS GOWC,Region 6,Community water system,7577,-,Medium,0,http://ldh.la.gov/assets/oph/Center-EH/engineering/CCR/2019/Ouachita/LA1073046.docx,2020,No,2.909090909,-86.5,0
118,22,23,Cameron Parish,Louisiana,LA1023011,CAMERON PARISH WW DISTRICT 11-SWEET LAKE,Region 6,Community water system,3696,-,Medium,0,http://ldh.la.gov/assets/oph/Center-EH/engineering/CCR/2019/Cameron/LA1023011.docx,2020,No,3.238866397,-76.86,0
119,24,35,Queen Anne's,Maryland,MD0170001,TOWN OF CENTREVILLE,Region 3,Community water system,3322,-,Medium,0,https://www.townofcentreville.org/wp-content/uploads/2020/06/2019-CCR-Report.pdf,2020,No,0,-12.34,0
120,24,21,Frederick,Maryland,MD0100025,TOWN OF WALKERSVILLE,Region 3,Community water system,8440,-,Medium,0,http://walkersville-md.com/wp-content/uploads/2020/06/Annual-Drinking-Water-Quality-Report-.doc,2020,No,68.75,-79.75,0
121,24,13,Carroll,Maryland,MD0060012,CITY OF TANEYTOWN,Region 3,Community water system,6750,-,Medium,0,http://cms6.revize.com/revize/taneytown/departments/public_works/docs/2019%20-%20Water%20Quality%20Report.pdf,2020,No,0,-2.4,0
122,24,1,Allegany,Maryland,MD0010009,WESTERN REGION ALLEGANY DISTRIB. SYSTEM,Region 3,Community water system,4955,-,Medium,0,https://www.alleganygov.org/DocumentCenter/View/794,2020,No,0,N/A,0
